@relation 'Act_Set_1-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-19,21-50,52-53,55-69,71-91,93-106,108,110-133,135-141,143-166'

@attribute feature3 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature20 numeric
@attribute feature51 numeric
@attribute feature54 numeric
@attribute feature70 numeric
@attribute feature92 numeric
@attribute feature107 numeric
@attribute feature109 numeric
@attribute feature134 numeric
@attribute feature142 numeric
@attribute Activation {1,-1}

@data
21.671951,0.860941,1.354816,0.015141,0.528084,0.296166,2.40858,0.504918,4.584979,4.388996,-0.470921,-5.699142,-1
64.952523,0.923923,1.356354,0.096975,0.677413,0.368578,2.193323,0.893548,4.474955,4.094316,-0.463417,-7.199737,1
173.343104,0.785495,0.55326,0.083206,0.487424,0.259662,2.602717,0.570588,4.536932,4.600689,-0.299268,-6.209243,1
166.310893,0.744906,1.762123,-0.02005,0.317164,0.243198,2.079631,0.52222,3.955138,3.817502,-0.383727,-4.510228,-1
60.75357,0.722093,1.359426,-0.067556,0.573452,0.291182,2.049718,0.498867,3.967251,3.611725,-0.241753,-5.909091,-1
9.152492,0.765874,0.778938,-0.065651,0.430168,0.323291,2.625359,0.69559,4.325032,4.764664,-0.4242,-5.381815,1
96.713426,0.906818,1.179052,0.008167,0.649794,0.28947,2.279906,0.659068,4.199575,4.08924,-0.439325,-7.772564,1
24.479576,0.759684,1.727982,0.134838,0.492469,0.27749,2.109735,0.668614,4.988898,3.56668,-0.491064,-5.769083,-1
170.671426,0.828786,1.435543,0.193055,0.434787,0.338378,2.105562,0.915173,4.493684,3.59998,-0.352421,-5.795444,-1
14.923487,0.922787,0.835298,0.051853,0.50499,0.30001,2.543204,0.69203,4.155728,4.914634,-0.280881,-5.888589,1
36.214731,0.989059,0.923645,-0.142355,0.792942,0.341567,2.965849,0.679857,4.872193,5.467994,-0.479991,-8.6465,1
377.409181,0.942655,0.838207,0.127506,0.461761,0.277388,2.138355,0.612237,4.515025,3.700592,-0.279943,-6.750125,1
52.676607,0.901963,1.14804,0.067982,0.70006,0.331452,2.253727,0.472746,4.182724,4.077345,-0.352571,-5.653765,1
31.292818,0.765943,1.446091,0.081352,0.473945,0.351859,2.15213,0.675361,4.784327,3.911843,-0.458708,-6.669062,-1
109.219682,0.935143,0.300537,-0.03227,0.518102,0.328379,2.507305,0.927732,4.756712,4.621428,-0.487067,-6.752916,1
30.8593,0.913306,1.237346,0.008573,0.628079,0.359625,2.586313,0.752758,5.304552,4.60164,-0.538481,-8.389489,-1
63.797156,0.862631,0.311339,0.065489,0.310849,0.306804,2.524582,0.721097,4.341695,4.342051,-0.544705,-5.182066,1
16.234644,0.731465,1.640163,-0.072659,0.454066,0.32018,2.445664,0.358139,4.050707,4.36091,-0.587961,-4.997218,-1
15.665755,0.859728,1.323867,0.003165,0.721776,0.325737,2.031086,0.556849,4.589173,3.57963,-0.349519,-5.399859,-1
85.269854,0.801067,1.605161,0.074162,0.467176,0.311928,2.134414,0.709358,4.11716,3.755711,-0.410542,-5.344019,-1
38.785573,0.773955,1.127669,0.05429,0.397485,0.286363,2.593801,0.638773,4.369636,4.328644,-0.44038,-5.391955,-1
65.753314,0.941376,0.902089,0.108605,0.734626,0.336405,2.277788,0.719712,4.333008,4.07214,-0.293952,-7.645398,1
19.248564,0.720935,1.138498,0.181464,0.659406,0.334952,1.996843,0.630707,3.988503,3.650762,-0.407624,-6.078211,-1
94.699688,0.806753,1.140532,-0.068748,0.384966,0.257735,2.320247,0.479897,4.225581,4.083783,-0.741207,-5.871945,1
134.901415,0.968559,0.958986,0.087643,0.765659,0.287818,2.322801,0.627123,5.48119,3.956054,-0.44373,-10.035259,-1
15.652822,0.851428,0.978934,0.007239,0.857338,0.307359,2.134125,0.668907,4.102471,3.753338,-0.429475,-6.493932,-1
37.22952,0.835429,0.815916,-0.072913,0.688116,0.282799,2.275166,0.705588,4.195166,4.09564,-0.31807,-6.167513,1
217.108352,0.789414,0.930598,0.106343,0.267715,0.239951,1.993291,0.529041,3.93259,3.519585,-0.30224,-4.647645,1
27.723252,0.840255,1.06108,-0.243954,0.66672,0.261692,2.336789,0.684179,4.078682,4.174872,-0.410692,-5.886882,-1
25.077636,0.842233,0.527124,0.047569,0.532939,0.322511,2.235146,0.615213,4.16461,3.931754,-0.686653,-5.967982,1
165.790387,0.89627,1.158265,-0.012454,0.440433,0.320774,2.500906,0.827049,4.838119,4.334033,-0.376243,-6.053029,1
55.488305,0.746698,1.662661,-0.217851,0.67294,0.392097,2.201532,0.489326,4.510505,3.99548,-0.311005,-7.421912,-1
41.403218,0.875663,1.725331,0.103834,0.684227,0.332981,2.480747,0.64368,4.389286,4.336646,-0.614239,-7.053001,-1
77.040833,0.725648,1.511912,0.064262,0.544263,0.272735,2.222273,0.646588,4.012057,4.119534,-0.667884,-5.003173,-1
56.800166,0.921952,1.073541,-0.001549,0.483141,0.335511,2.555035,0.914989,4.999306,4.655792,-0.350951,-5.963763,-1
142.155773,0.731022,1.626337,0.006001,0.480176,0.339529,2.184713,0.845057,4.340955,3.875156,-0.282206,-5.344911,-1
75.682877,0.869469,1.37517,-0.022855,0.634014,0.367726,2.499656,0.516407,4.826592,4.393496,-0.50932,-8.428933,-1
100.385653,0.781511,1.55988,-0.089451,0.389879,0.297123,1.920715,0.424522,4.37105,3.383907,-0.29797,-5.237524,-1
38.837124,0.857165,0.647796,0.118807,0.585846,0.310504,2.366437,0.521514,4.375146,4.138394,-0.398911,-8.118947,1
4.420429,0.751373,2.04628,0.071201,0.772282,0.347808,2.266015,0.994066,4.445653,3.917323,-0.486156,-8.490407,-1
161.088983,0.930347,0.533377,0.033168,0.33036,0.35391,2.365394,0.663561,4.412229,4.005813,-0.615538,-5.062494,1
46.956982,0.925776,1.224876,-0.01087,0.599067,0.296723,2.3717,0.699402,4.713337,4.07192,-0.50341,-7.635131,-1
44.916827,0.822074,0.902518,0.0149,0.590468,0.325257,1.966367,0.430969,3.328679,3.435312,-0.374464,-5.597114,-1
46.32805,0.898646,1.30825,0.155723,0.634621,0.36668,2.151764,0.642348,4.355825,3.834784,-0.364662,-7.122025,-1
106.257978,0.93501,1.696959,0.009807,0.561236,0.334988,2.310306,0.491099,4.160906,4.006217,-0.3999,-6.62038,-1
118.215409,0.912329,0.943603,-0.060739,0.704581,0.363155,2.356758,0.660539,4.822168,4.150492,-0.54069,-8.901449,1
9.671825,0.849204,0.886318,0.286428,0.379315,0.318079,3.218378,0.38426,4.93395,5.598083,-0.828881,-6.459264,1
6.008194,0.732565,1.634225,-0.018512,0.549675,0.306901,2.490114,0.790585,5.115352,4.423974,-0.495595,-7.511151,-1
51.239679,0.985641,1.059519,-0.072889,0.493122,0.284914,2.144805,0.559287,4.26586,3.876211,-0.388196,-6.852235,-1
116.372476,0.900986,2.140842,-0.093762,0.482493,0.30035,2.536469,0.598232,4.458504,4.421489,-0.449954,-7.0806,1
198.975055,1.061916,0.740889,0.034112,0.568999,0.282893,2.398298,0.712554,4.34445,4.152664,-0.42613,-7.031355,1
49.267415,1.045014,1.852048,-0.067746,0.593201,0.36815,2.346374,0.72102,4.655285,4.126531,-0.307359,-7.958838,-1
67.294702,0.713279,1.104381,-0.017648,0.46147,0.281943,2.468314,0.574989,3.943831,4.299507,-0.412258,-5.434274,1
37.009425,0.606298,1.23111,-0.002484,0.420654,0.324467,2.044693,0.312201,3.736354,3.615072,-0.456857,-4.121247,1
35.423601,0.986744,1.474034,0.005976,0.592139,0.316,2.408388,0.511296,5.145372,4.318454,-0.424869,-8.579698,1
90.557725,0.879373,0.632301,0.226508,0.512694,0.298083,2.405808,0.716168,4.090456,4.270862,-0.507351,-6.394842,1
29.627487,0.50803,1.209729,-0.269182,0.421285,0.539197,2.438907,1.158317,6.134526,4.027052,-0.878695,-5.779091,-1
51.96561,0.790709,1.00289,0.113377,0.406186,0.311328,2.282455,0.554588,4.447446,3.98287,-0.419545,-4.744134,-1
64.332111,0.949377,1.056073,0.082396,0.374266,0.287904,2.138491,0.409274,4.05377,3.755354,-0.355237,-5.43545,1
48.591939,0.986663,1.490597,0.017501,0.635319,0.320601,2.231676,0.477724,4.806805,3.967041,-0.48333,-7.49254,1
80.199152,0.879581,1.010447,-0.005565,0.487566,0.280267,2.227952,0.768384,4.946774,3.945165,-0.420301,-7.031445,1
13.1511,0.670477,1.909779,-0.003055,0.530941,0.26615,1.993079,0.755887,3.769967,3.536907,-0.495033,-5.578618,-1
25.57275,0.849916,0.924521,-0.035696,0.49553,0.290162,2.244772,0.692741,5.118891,3.973217,-0.670465,-6.055959,1
53.499761,0.927992,1.353802,-0.067133,0.582153,0.333544,2.399458,0.416472,5.04838,4.172152,-0.483295,-7.68141,-1
54.364678,1.054365,0.708311,0.091133,0.542664,0.318791,2.226474,0.493104,4.194509,4.015559,-0.469357,-7.656814,1
85.09689,0.941816,1.378729,-0.017007,0.572332,0.302901,2.231296,0.677885,4.659816,4.060195,-0.448329,-6.627896,1
96.289103,0.739846,1.60133,-0.111989,0.466019,0.318438,2.456786,0.601652,4.429919,4.450301,-0.467257,-6.245555,-1
138.657897,0.799115,1.523317,-0.030486,0.547215,0.319096,2.40025,0.194895,4.809718,4.335242,-0.690565,-6.83365,-1
166.855079,0.751819,1.687572,-0.092282,0.475154,0.302016,2.160648,0.320094,4.432895,3.907897,-0.674393,-6.16128,-1
27.266671,0.925935,0.87006,0.14249,0.611026,0.311079,2.210294,0.464462,4.714723,3.96533,-0.380623,-7.695847,-1
158.580065,1.052988,0.353301,0.105146,0.413856,0.28907,2.140364,0.760138,4.143121,3.891115,-0.247637,-6.040926,1
117.098267,0.879058,1.260497,0.121709,0.706946,0.346356,2.257023,0.674507,4.41778,4.194136,-0.444901,-6.746002,-1
73.322224,0.69291,1.974321,0.057346,0.493107,0.356011,2.222801,0.997488,4.354231,3.864444,-0.250892,-5.900324,-1
85.216739,0.984436,0.325108,-0.128443,0.450003,0.312215,2.888694,0.599051,5.065351,5.076404,-0.670573,-6.793012,1
34.525811,0.932553,1.04069,-0.014386,0.574283,0.360548,2.332111,0.516433,4.553801,4.288678,-0.483302,-7.471968,1
92.448858,0.860202,1.09021,-0.012742,0.658224,0.354345,2.355907,0.71585,5.173091,4.243275,-0.547395,-8.272109,1
52.958194,0.815749,1.013301,0.113568,0.603126,0.315994,2.222791,0.584076,4.066525,3.884907,-0.418749,-6.981104,1
32.746761,0.75496,1.272952,-0.047888,0.387949,0.273406,2.163121,0.635138,4.160629,4.013494,-0.408308,-5.520344,-1
15.075451,0.789252,1.418627,-0.007813,0.483241,0.324716,2.578845,0.623179,4.888506,4.645904,-0.444262,-6.430133,-1
61.326686,0.738017,1.958007,0.357313,0.344685,0.487388,2.372689,0.212953,4.18034,4.122264,-0.649251,-4.402855,-1
265.55296,0.908849,0.74595,0.167305,0.440556,0.319104,2.427798,0.644738,4.933738,4.373233,-0.627469,-5.983911,1
9.294724,0.781189,1.879606,0.05159,0.575886,0.303998,2.132648,0.892637,4.509669,3.616337,-0.238075,-7.252225,-1
66.258155,0.755694,2.134447,-0.084376,0.431873,0.309213,2.154662,1.164449,4.47816,3.672799,-0.615507,-5.027872,-1
12.413207,0.631223,2.054039,-0.03167,0.566682,0.310513,2.833293,0.496759,4.5432,5.326467,-1.071539,-5.908069,-1
117.740476,0.92498,0.960039,0.051156,0.684954,0.311672,2.30164,0.629782,4.669659,4.201903,-0.275392,-8.159728,1
49.650926,0.77303,0.826434,-0.087212,0.407037,0.269444,2.102307,0.67465,4.04774,3.622528,-0.223002,-5.421678,-1
11.749182,0.881789,1.493231,0.159476,0.358855,0.273776,2.008861,1.043609,3.958698,3.624056,-0.508643,-5.564962,-1
17.536838,0.934483,0.687652,0.083654,0.431305,0.270747,2.148578,0.828446,3.476066,3.698522,-0.240516,-6.50053,1
123.907293,0.752584,1.448078,-0.004313,0.746824,0.380136,2.323831,0.732443,4.405837,3.98029,-0.483036,-7.589801,-1
113.488249,0.896121,1.416812,0.169928,0.595573,0.367815,2.58407,0.64726,4.845064,4.630358,-0.429342,-8.285696,1
71.237703,1.020679,0.886362,0.056608,0.567503,0.36159,2.510948,0.543784,4.89674,4.620163,-0.432418,-9.441429,1
39.642098,0.802029,1.200716,0.09162,0.360226,0.268785,2.391805,0.623371,3.761185,4.302804,-0.437764,-5.326782,1
22.883272,0.721816,1.042467,0.150467,0.456071,0.28579,1.939905,0.378374,3.646362,3.377923,-0.273178,-5.669644,-1
22.620043,0.612421,2.162479,0.17276,0.483988,0.303774,2.423427,0.879489,4.40543,4.093256,-0.360585,-5.730369,-1
58.777253,0.885572,1.37587,0.074237,0.671766,0.358755,2.077771,0.734326,5.067329,3.729211,-0.462593,-7.571245,-1
118.897754,0.990127,1.36477,0.117181,0.565449,0.286591,2.220583,0.720545,5.003906,3.87899,-0.495475,-7.236863,1
28.826397,0.763379,1.203984,-0.104295,0.499828,0.289965,2.047036,0.567594,4.431051,3.481516,-0.470152,-6.277782,-1
133.689981,0.71651,1.796674,0.102166,0.447338,0.323014,2.595076,0.675933,5.281107,4.538207,-0.496,-6.613455,-1
54.690089,0.701952,1.566028,-0.087982,0.591769,0.282707,2.377755,0.803911,3.752569,4.218757,-0.743007,-6.534015,1
55.734756,0.904336,1.125085,-0.02161,0.525532,0.345985,2.709398,0.830976,5.002996,4.898936,-0.596105,-7.212485,-1
56.086896,1.002556,1.585732,-0.054546,0.58669,0.27218,2.205784,0.999115,3.907365,3.856209,-0.174082,-8.56508,1
81.561727,0.833603,1.378464,-0.085721,0.499437,0.303037,2.512531,0.629362,5.227938,4.491947,-0.336705,-9.035325,1
67.123049,0.438872,1.075445,0.145977,0.36552,0.358258,2.191823,0.496185,4.227656,3.867259,-0.580128,-5.005452,-1
65.822043,0.954297,0.845091,0.228716,0.665891,0.321533,2.3867,0.918669,5.168946,4.253075,-0.392116,-8.829472,1
177.98038,0.656429,0.322252,0.187807,0.402396,0.229984,2.273992,1.033676,3.689224,4.07323,-0.220244,-5.497761,1
8.243828,0.755142,1.123037,0.186433,0.447061,0.339761,2.600088,0.608868,4.274348,4.681077,-0.346596,-6.020259,-1
81.083007,0.929415,0.999934,0.10358,0.580353,0.311574,2.618282,0.574211,4.882163,4.885096,-0.294672,-6.825783,-1
120.948668,0.912917,0.749642,0.07361,0.408165,0.306851,2.177927,0.683255,4.707463,3.995715,-0.505015,-6.136664,1
17.973809,0.840562,1.405008,0.05617,0.461384,0.272274,2.452059,0.535565,4.458475,4.101652,-0.302618,-6.068327,-1
67.896819,0.688808,1.877894,-0.144565,0.621445,0.285201,2.239208,0.614996,4.085294,3.988858,-0.390555,-5.672618,1
12.056176,0.712839,1.298998,-0.088048,0.454508,0.389029,2.272078,0.864287,4.355667,3.917781,-0.595746,-5.361969,-1
145.454439,0.864631,0.641911,0.000289,0.559382,0.275654,2.272241,0.607055,3.793597,3.907573,-0.379309,-6.130525,-1
100.932477,0.918354,1.187719,-0.003287,0.493326,0.312078,2.247136,0.569797,4.169361,4.004061,-0.435708,-5.341047,1
30.581537,0.969332,1.522946,-0.014842,0.31627,0.326824,2.626474,0.634696,4.998697,4.405113,-0.354034,-5.426217,1
27.614485,0.661293,2.09505,0.138611,0.508479,0.279944,2.053506,0.469916,4.080961,3.581005,-0.306138,-4.786867,-1
93.536189,0.762459,0.384621,-0.012028,0.402036,0.309481,2.170703,0.679795,4.258444,3.746943,-0.402551,-5.613154,-1
34.147703,0.891044,0.530329,0.028369,0.513341,0.309038,2.382161,0.623839,4.491239,4.092982,-0.420368,-6.02981,-1
49.646237,0.724715,1.21326,-0.102641,0.412225,0.328691,2.636503,0.531026,4.073518,4.771802,-0.406112,-5.471348,-1
0.382138,0.508434,0.797771,0.082463,0.352247,0.372878,2.183473,0.229986,4.124054,3.868748,-0.96799,-4.092337,-1
95.416022,0.939103,0.723766,0.074634,0.442552,0.300942,2.332891,0.468505,4.077788,4.133234,-0.340026,-6.526341,-1
7.57139,0.878516,1.592968,-0.036436,0.571557,0.280131,2.426971,0.512131,4.437341,4.28361,-0.341461,-6.466548,-1
89.972726,0.875712,1.076002,-0.040092,0.473084,0.262934,2.132555,0.773364,4.989147,3.779264,-0.472219,-6.681812,1
70.58301,0.774824,1.467969,0.113658,0.342576,0.285828,2.21139,0.582096,4.209972,3.929397,-0.354916,-5.294804,-1
266.617898,0.896038,0.564147,0.082974,0.362745,0.273491,2.439912,0.633963,4.317331,4.240835,-0.302786,-5.379785,1
35.460384,0.815759,1.389008,0.137359,0.60503,0.380947,2.241948,0.529115,4.66696,4.170822,-0.370029,-7.378606,-1
115.317482,0.775133,0.471145,-0.064365,0.391014,0.283768,2.34744,0.580039,4.046021,4.056361,-0.338688,-5.113518,-1
51.116941,0.846557,0.721531,0.104096,0.900688,0.430559,2.322312,0.788543,4.176272,4.203588,-1.11775,-6.74737,-1
114.600278,0.975334,1.014477,0.034538,0.450442,0.31949,2.152581,0.580262,4.669178,3.843136,-0.377027,-6.896174,1
31.866375,0.758402,1.619999,-0.087802,0.658224,0.370852,2.081324,0.731764,4.459411,3.787076,-0.294319,-5.377994,-1
70.088599,0.824504,1.52141,0.001352,0.533556,0.338892,2.201173,0.572201,4.463472,4.025616,-0.365647,-7.465599,-1
5.883729,0.775054,2.160469,-0.020215,0.520231,0.351124,2.203369,0.606498,5.088334,3.944241,-0.474207,-7.211883,-1
0.628899,0.480365,0.172966,0.216418,0.597246,0.567377,2.988652,0.757103,4.247409,5.258905,-1.014039,-6.474518,-1
117.543733,0.922014,0.967383,0.090625,0.58703,0.282356,2.227353,0.637799,4.800834,3.79879,-0.374219,-6.826436,1
20.693556,0.862466,1.663036,0.016083,0.648471,0.332063,2.49658,0.490962,5.068718,4.417022,-0.424851,-8.196287,-1
40.352593,0.68128,1.259168,-0.132167,0.6713,0.295259,2.164762,0.806681,4.212612,3.834242,-0.446275,-5.68531,-1
36.580426,0.953268,0.650299,0.091859,0.489888,0.290261,2.050888,0.373737,4.419866,3.511201,-0.557562,-7.137527,1
3.245742,0.709977,1.95878,-0.090855,0.47195,0.322995,1.954459,0.605357,3.468169,3.389813,-0.381034,-4.90508,-1
32.545866,0.81313,0.954862,-0.003459,0.455555,0.320863,2.379428,0.582667,4.834972,4.270901,-0.336024,-5.814661,-1
57.835188,0.792371,1.620139,0.068911,0.318893,0.241314,2.262959,0.763909,3.632702,3.887131,-0.419936,-4.686365,-1
35.303956,0.813365,1.625733,0.09523,0.437233,0.336316,2.280877,0.581386,4.464765,4.177489,-0.27616,-6.437889,-1
56.32494,1.037582,1.15521,0.16738,0.591738,0.376205,2.783892,0.734235,5.150599,5.207763,-0.459012,-7.520414,1
68.598634,0.621319,1.72161,0.030395,0.293491,0.358589,3.101656,0.657859,6.241684,6.094794,-0.504297,-5.770604,1
124.015898,0.916146,1.339761,-0.06963,0.58858,0.297173,2.307461,0.630017,4.712247,4.154243,-0.517328,-6.810208,1
54.652826,0.770872,1.842937,-0.052817,0.419673,0.334173,2.228439,1.015774,4.732703,3.800891,-0.551788,-4.708985,-1
17.13201,0.576198,2.003101,-0.307764,0.358099,0.314784,2.233097,0.351384,4.060452,3.909051,-0.182877,-5.247684,-1
33.59328,0.926963,1.190722,-0.100346,0.673935,0.317087,2.132349,0.88365,4.02781,3.796715,-0.315651,-7.368115,-1
48.792487,1.018623,0.585782,0.009461,0.499337,0.315321,2.259907,0.653328,4.710578,4.083038,-0.334761,-6.556968,1
154.825971,0.82732,1.384527,0.008864,0.359617,0.251261,2.412897,0.320293,4.480307,4.1853,-0.427787,-4.880563,1
4.457828,0.950986,1.465369,0.084709,0.278119,0.244188,1.692618,0.680857,3.456829,3.002606,-0.215631,-5.231486,1
19.004592,0.761733,1.736216,0.048394,0.415041,0.288358,2.608682,0.615525,4.504985,4.73274,-0.571049,-5.671236,-1
45.060531,0.843917,1.553266,0.012015,0.610428,0.340241,2.55877,0.803953,5.322724,4.555526,-0.673656,-8.658655,-1
76.389903,0.751584,0.952545,-0.128266,0.457138,0.318224,2.310665,0.359023,4.481949,4.286306,-0.672038,-5.156033,1
63.391248,0.902969,0.575077,0.283449,0.405274,0.261342,2.329822,0.85369,4.064687,3.964325,-0.296381,-7.310793,1
173.925991,0.915909,1.013472,0.032035,0.502496,0.292247,2.224555,0.747695,4.441438,3.865691,-0.421768,-5.301631,1
87.008293,0.886054,1.055341,0.123355,0.407101,0.275518,2.280207,0.700155,4.435146,3.980054,-0.463213,-5.760261,1
108.178104,0.706352,1.171496,0.062298,0.316557,0.310066,2.080595,0.340835,4.211744,3.641115,-0.586625,-4.919299,1
